area,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 15,SDG 16,Composite Score,year,Indicator 1,Indicator 2,Indicator 3
Punjab,69,73,77,60,45,66,100,57,69,68,91,71,51,48,76,68,2020-21,46.86,14.27,41.95
Rājasthān,63,53,70,60,39,54,100,57,45,45,81,74,49,43,73,60,2020-21,34.39,78.55,91.78
Sikkim,80,69,62,58,58,89,100,71,52,61,85,76,65,73,72,71,2020-21,16.31,17.56,47.69
Tamil Nādu,86,66,81,69,59,87,100,71,71,74,79,78,61,63,71,74,2020-21,49.97,45.37,88.53
Telangāna,68,50,67,63,41,96,100,73,59,67,76,73,43,81,71,69,2020-21,31.61,99.54,48.39
Tripura,82,52,67,42,39,82,83,57,35,85,67,99,41,69,80,65,2020-21,35.82,44.09,90.69
Uttar Pradesh,44,41,60,51,50,83,100,53,42,41,77,79,39,61,79,60,2020-21,26.77,68.46,46.87
Uttarākhand,74,61,77,70,46,85,100,63,56,77,76,82,60,64,86,72,2020-21,71.93,34.33,51.82
West Bengal,59,46,76,54,41,81,98,57,53,71,45,79,39,53,81,62,2020-21,15.25,95.95,34.70
Andaman and Nicobar Islands,71,45,68,57,68,87,100,59,23,67,85,73,77,72,46,67,2020-21,28.59,42.39,2.63
Chhattīsgarh,75,97,74,79,58,99,100,70,45,100,98,78,61,85,73,79,2020-21,70.77,90.96,18.11
Dādra and Nagar Haveli and Damān and Diu,65,27,80,56,53,95,71,57,47,66,89,62,18,62,75,62,2020-21,46.09,42.87,9.91
Delhi,81,63,90,75,33,61,100,65,66,72,65,50,55,81,62,68,2020-21,44.72,89.79,94.53
Jammu and Kashmīr,69,71,70,49,46,88,100,47,42,65,57,95,63,52,74,66,2020-21,93.32,86.69,66.72
Ladākh,79,71,70,49,46,84,100,59,48,65,57,95,66,27,74,66,2020-21,23.10,17.92,2.37
Lakshadweep,61,74,78,62,58,100,83,62,40,75,56,63,68,67,77,68,2020-21,64.00,7.49,11.77
Puducherry,75,59,70,70,66,91,98,68,59,62,76,66,23,50,86,68,2020-21,40.39,80.55,27.88
India,60,47,74,57,48,83,92,61,55,67,79,74,54,66,74,66,2020-21,13.18,69.16,28.84
Andhra Pradesh,69,35,76,52,37,96,86,78,66,68,36,57,70,86,86,67,2019,97.35,7.24,42.18
Arunāchal Pradesh,34,66,50,58,33,88,74,52,31,38,43,67,31,71,62,53,2019,59.10,32.28,58.39
Assam,48,39,44,44,33,78,70,62,46,67,40,68,47,90,52,55,2019,89.49,59.83,44.55
Bihār,33,26,44,19,40,81,62,64,47,74,50,47,43,54,64,50,2019,76.04,85.26,40.91
Chhattisgarh,49,27,52,52,43,92,56,67,38,60,49,58,29,97,71,56,2019,14.04,55.26,1.02
Goa,53,76,60,71,46,77,95,71,45,19,79,63,41,99,79,65,2019,94.10,61.63,96.12
Gujarāt,47,39,67,47,36,92,75,75,88,59,77,33,63,77,86,64,2019,10.03,30.15,98.05
Haryāna,47,43,65,68,36,81,77,71,73,54,49,39,34,40,76,57,2019,99.55,24.78,3.53
Himāchal Pradesh,60,44,67,81,52,82,64,76,70,78,79,52,61,92,84,69,2019,56.02,90.69,77.00
Jhārkhand,28,22,55,42,34,78,50,70,70,64,57,36,27,99,67,53,2019,79.84,43.81,8.35
Karnātaka,49,37,72,67,42,88,86,78,40,70,48,72,71,89,75,66,2019,16.12,16.62,94.12
Kerala,64,74,82,74,51,77,70,61,88,75,51,57,56,98,77,70,2019,24.63,45.30,52.10
Madhya Pradesh,40,24,50,54,45,92,62,67,44,68,55,58,47,94,63,58,2019,42.03,95.19,58.31
Mahārāshtra,47,34,76,65,41,93,82,70,59,70,45,71,50,85,72,64,2019,35.58,89.94,69.27
Manipur,42,69,62,70,34,87,72,27,43,81,28,85,37,100,70,60,2019,38.79,99.99,49.61
Meghālaya,68,35,53,55,34,70,52,65,22,76,22,60,36,99,59,54,2019,48.49,32.21,46.21
Mizoram,67,75,52,61,37,81,81,42,8,66,33,50,45,75,63,56,2019,92.88,58.57,61.71
Nāgāland,56,70,29,47,42,75,70,28,23,61,23,100,51,94,84,57,2019,46.05,33.22,19.55
