STATEs/UTs,year,yearFormatted,Percentage of households electrified,Percentage of households using clean cooking fuel (LPG),Percentage of renewable energy out of total installed generating capacity (Including allocated shares),Percentage of LPG+PNG connections against number of households
Goa,2020-21,2021,100,,1.055007438058923,146.84
Gujarat,2020-21,2021,100,,34.51133450612979,93.32453459294248
Gujarat,2018,2018,100.0,52.6,24.09,
Gujarat,2023-24,2024,100.0,,50.3566036,98.29
Gujarat,2019,2019,100.0,66.7,,
Haryana,2020-21,2021,100,,23.22897417269239,127.0796144234202
Haryana,2023-24,2024,100.0,,30.99182402,132.36
Haryana,2018,2018,99.61,52.2,3.95,
Haryana,2019,2019,100.0,69.3,,
Himachal Pradesh,2019,2019,100.0,51.9,,
Himachal Pradesh,2018,2018,99.5,36.7,26.02,
Himachal Pradesh,2020-21,2021,100,,93.96223316504393,120.2294685990338
Himachal Pradesh,2023-24,2024,100.0,,96.14030708,114.17
India,2023-24,2024,100.0,,43.28257052,96.35
India,2019,2019,99.99,61.4,,
India,2020-21,2021,99.99,,36.37057166154142,92.02
India,2018,2018,94.57,43.8,17.51,
Jammu and Kashmir,2019,2019,100.0,68.1,,
Jammu and Kashmir,2020-21,2021,100,,73.840607864732,131.304347826087
Jammu and Kashmir,2023-24,2024,100.0,,67.73734451,122.28
Jammu and Kashmir,2018,2018,99.8,57.6,10.19,
Jharkhand,2019,2019,100.0,32.9,,
Jharkhand,2018,2018,89.52,18.9,1.41,
Jharkhand,2023-24,2024,100.0,,12.64939048,74.97
Jharkhand,2020-21,2021,100,,9.480012883369715,75.79481699171787
Karnataka,2023-24,2024,100.0,,65.50632035,116.39
Karnataka,2018,2018,96.45,54.7,40.77,
Karnataka,2020-21,2021,100,,63.20053362845617,108.8052394813443
Karnataka,2019,2019,100.0,81.4,,
Kerala,2023-24,2024,100.0,,48.42397829,100.18
Kerala,2018,2018,100.0,57.4,13.26,
Kerala,2020-21,2021,100,,40.15978620353452,110.7779980178395
Kerala,2019,2019,100.0,58.9,,
Ladakh,2020-21,2021,100,,73.840607864732,169.811320754717
Ladakh,2023-24,2024,100.0,,,154.37
Lakshadweep,2018,2018,,34.8,100.0,
Lakshadweep,2023-24,2024,100.0,,15.62893082,85.74
Lakshadweep,2020-21,2021,,,100.0,90.90909090909092
Lakshadweep,2019,2019,,61.7,,
Madhya Pradesh,2019,2019,100.0,48.3,,
Madhya Pradesh,2023-24,2024,100.0,,38.20331312,91.73
Madhya Pradesh,2018,2018,100.0,29.6,23.47,
Madhya Pradesh,2020-21,2021,100,,33.53120924270273,85.24314319367325
Maharashtra,2019,2019,100.0,75.6,,
Maharashtra,2020-21,2021,100,,30.18259083536879,108.6357171510886
Maharashtra,2023-24,2024,100.0,,37.35444013,116.84
Maharashtra,2018,2018,99.91,59.9,22.03,
Manipur,2019,2019,100.0,62.9,,
Manipur,2020-21,2021,100,,40.9250630203957,95.63758389261746
Manipur,2018,2018,89.3,42.1,13.21,
Manipur,2023-24,2024,100.0,,39.09988536,90.12
Meghalaya,2020-21,2021,100,,73.65618786255402,47.5
Meghalaya,2018,2018,77.01,21.8,9.92,
Meghalaya,2019,2019,100.0,34.7,,
Meghalaya,2023-24,2024,100.0,,75.25316067,68.61
Mizoram,2019,2019,100.0,74.3,,
