STATEs/UTs,year,yearFormatted,Percentage ground water withdrawal against availability,"Percentage use of nitrogenous fertilizer out of total N,P,K, (Nitrogen, Phosphorous, Potassium)",Per capita hazard waste generated,Quantity of hazardous waste recycled/utilized to total hazardous waste generated (%),Municipal Solid Waste (MSW) treated against MSW generated,"Installed Capacity of Grid Interactive Bio Power per 100,000 population",Percentage of wards with 100% source segregation,Per capita fossil fuel consumption (in kg.),"Hazardous waste generated per 1,000 population (Metric tonnes/Annum)","Plastic waste generated per 1,000 population (Tonnes/Annum)",Percentage of Bio Medical Waste (BMW) treated to total quantity of BMW generated,"Installed Capacity of Grid Interactive Bio Power per 10,00,000 population"
Rajasthan,2019,2019,,73.68037859483071,0.0099339694028623,0.0270667009921839,9.72801270597578,0.1599672944031229,79.42104286509557,,,,,
Sikkim,2018,2018,,,,,,,,,,,,
Sikkim,2023-24,2024,,0.0,,0.0,,,,217.1859754,,0.122956909,,
Sikkim,2019,2019,,0.0,0.0012140216383307,0.0,0.6122448979591837,,94.33962264150944,,,,,
Sikkim,2020-21,2021,,0.0,,0.0,,,,207.1,2.226100151745068,0.0085887708649468,73.35215243472123,
Tamil Nadu,2018,2018,77.25,,,,,,,,,,,
Tamil Nadu,2023-24,2024,,59.84206659,,48.81122096,,,,200.7542876,,5.64037768,,
Tamil Nadu,2019,2019,,56.55467080986599,0.0055217764712663,0.1692736204530852,11.08275862068965,1.427200614124872,82.99516154206337,,,,,
Tamil Nadu,2020-21,2021,,49.22429823784645,,48.73460720890439,,,,199.9,17.26264245958124,5.315279618340843,100.0,13.37915370173435
Target,2018,2018,70.0,,,,,,,,,,,
Target,2023-24,2024,,57.0,,100.0,,,,55.6,,0.62,,
Target,2019,2019,,57.0,0.0,0.7224685941488533,100.0,2.11,100.0,,,,,
Target,2020-21,2021,,57.0,,100.0,,,,64.1,4.043520767260377,1.268315027302396,100.0,21.81
Telangana,2023-24,2024,,67.51384119,,86.47608622,,,,197.4917288,,12.57147796,,
Telangana,2018,2018,58.03,,,,,,,,,,,
Telangana,2020-21,2021,,65.99772644530466,,52.25057070326423,,,,198.4,9.925168782068594,4.942334593572779,100.0,5.485400682011934
Telangana,2019,2019,,67.51283631135759,0.0078393889838277,0.1723548282305575,47.90283645141822,0.4915310528063766,47.72727272727273,,,,,
Tripura,2023-24,2024,,58.41942149,,103.2786885,,,,64.09828822,,0.015218465,,
Tripura,2018,2018,7.27,,,,,,,,,,,
Tripura,2019,2019,,54.23986120147474,7.061944589649765e-05,0.8831933084125986,60.33734939759037,,66.12903225806451,,,,,
Tripura,2020-21,2021,,0.0,,93.1740614334471,,,,64.0,0.073933888468332,0.0066111531667928,100.0,
Uttar Pradesh,2019,2019,,67.82410423452768,0.0008555789406111,0.2023325088761422,27.09593326381647,0.9272371050878362,60.52302823353044,,,,,
Uttar Pradesh,2018,2018,73.71,,,,,,,,,,,
Uttar Pradesh,2020-21,2021,,73.71885423836501,,60.40410434754737,,,,91.1,1.119218127110398,1.140799899552921,100.0,9.24846351083951
Uttar Pradesh,2023-24,2024,,72.45984287,,71.40208938,,,,86.13161684,,1.636899579,,
Uttarakhand,2019,2019,,80.9766081871345,0.0022821755079006,0.0881938053342706,0.0,1.185286103542234,44.70085470085471,,,,,
Uttarakhand,2018,2018,50.25,,,,,,,,,,,
Uttarakhand,2020-21,2021,,78.35349660666864,,96.33348610474565,,,,170.6,2.17105382180009,2.812573496155586,99.12438372423924,11.51065146291877
Uttarakhand,2023-24,2024,,77.04700949,,132.2902217,,,,158.5556622,,1.643548387,,
West Bengal,2023-24,2024,,51.6190291,,96.02356223,,,,96.25109124,,4.270161744,,
West Bengal,2020-21,2021,,50.19930958118935,,49.91224481006115,,,,96.2,1.92480829015544,3.111255129533679,100.0,3.273877137506524
West Bengal,2019,2019,,51.89537528430629,0.0009176776055585,0.1493135631067093,8.957894736842105,0.3336844850065189,9.39414567733152,,,,,
West Bengal,2018,2018,44.58,,,,,,,,,,,
